file name,Model constraint,Status,Solve time (second)
j6036_6.data,76,optimal,0.04
j6036_7.data,71,optimal,0.04
j6036_8.data,69,optimal,0.04
j6036_9.data,86,optimal,0.04
j6037_1.data,97,optimal,4.75
j6037_10.data,96,optimal,0.93
j6037_2.data,95,optimal,12.58
j6037_3.data,139,optimal,3.23
j6037_4.data,101,optimal,1.10
j6037_5.data,98,optimal,1.28
j6037_6.data,102,optimal,62.05
j6037_7.data,110,optimal,18.22
j6037_8.data,93,optimal,1.73
j6037_9.data,96,optimal,2.65
j6038_1.data,73,optimal,0.04
j6038_10.data,66,optimal,0.13
j6038_2.data,76,optimal,5.94
j6038_3.data,77,optimal,0.04
j6038_4.data,58,optimal,0.04
j6038_5.data,103,optimal,0.05
j6038_6.data,86,optimal,0.05
j6038_7.data,74,optimal,0.05
j6038_8.data,71,optimal,0.06
j6038_9.data,66,optimal,0.05
j6039_1.data,80,optimal,0.04
j6039_10.data,74,optimal,0.04
j6039_2.data,84,optimal,0.07
j6039_3.data,83,optimal,0.05
j6039_4.data,92,optimal,0.04
j6039_5.data,73,optimal,0.04
j6039_6.data,84,optimal,0.04
j6039_7.data,68,optimal,0.04
j6039_8.data,77,optimal,0.04
j6039_9.data,72,optimal,0.05
j603_1.data,60,optimal,0.04
j603_10.data,69,optimal,0.04
j603_2.data,69,optimal,0.04
j603_3.data,105,optimal,0.04
j603_4.data,81,optimal,0.04
j603_5.data,83,optimal,0.04
j603_6.data,57,optimal,0.04
j603_7.data,59,optimal,0.04
j603_8.data,55,optimal,0.16
j603_9.data,67,optimal,0.04
j6040_1.data,86,optimal,0.04
j6040_10.data,73,optimal,0.04
j6040_2.data,81,optimal,0.04
j6040_3.data,70,optimal,0.04
j6040_4.data,87,optimal,0.05
j6040_5.data,83,optimal,0.04
j6040_6.data,69,optimal,0.04
j6040_7.data,68,optimal,0.04
j6040_8.data,80,optimal,0.04
j6040_9.data,90,optimal,0.04
j6041_1.data,122,optimal,110.33
j6041_10.data,N/A,unknown,900.04
j6041_2.data,113,optimal,134.51
j6041_3.data,N/A,unknown,755.28
j6041_4.data,133,optimal,19.22
j6041_5.data,N/A,unknown,900.04
j6041_6.data,134,optimal,55.91
j6041_7.data,132,optimal,31.49
j6041_8.data,135,optimal,44.16
j6041_9.data,131,optimal,54.00
j6042_1.data,83,optimal,0.04
j6042_10.data,87,optimal,0.05
j6042_2.data,68,optimal,0.04
j6042_3.data,78,optimal,11.88
j6042_4.data,103,optimal,0.82
j6042_5.data,73,optimal,0.04
j6042_6.data,82,optimal,0.04
j6042_7.data,59,optimal,3.81
j6042_8.data,82,optimal,0.46
j6042_9.data,71,optimal,0.04
j6043_1.data,108,optimal,0.04
j6043_10.data,78,optimal,0.04
j6043_2.data,85,optimal,0.04
j6043_3.data,74,optimal,0.04
j6043_4.data,75,optimal,0.04
j6043_5.data,64,optimal,0.04
j6043_6.data,84,optimal,0.05
j6043_7.data,89,optimal,0.04
j6043_8.data,69,optimal,0.04
j6043_9.data,70,optimal,0.04
j6044_1.data,84,optimal,0.04
j6044_10.data,65,optimal,0.04
j6044_2.data,68,optimal,0.04
j6044_3.data,87,optimal,0.04
j6044_4.data,77,optimal,0.04
j6044_5.data,74,optimal,0.04
j6044_6.data,81,optimal,0.04
j6044_7.data,76,optimal,0.04
j6044_8.data,83,optimal,0.04
j6044_9.data,65,optimal,0.04
j6045_1.data,N/A,unknown,900.03
j6045_10.data,N/A,unknown,25.36
j6045_2.data,N/A,unknown,900.04
j6045_3.data,N/A,unknown,900.04
